config_features,config_input_dim,config_REVIEW_DIM,config_architecture,config_FEATURES_PATH,config_ENV_LEARNING_RATE,config_offline_train_test_datasets,ENV_Test_proba_accuracy_per_mean_user_and_bot_epoch0
BERT,69,36,CNN,data/BERT_PCA_36.csv,0.001,key_word_tagging,0.7707275211559269
BERT,69,36,CNN,data/BERT_PCA_36.csv,0.001,transformer_tagged,0.7713738434530572
BERT,69,36,CNN,data/BERT_PCA_36.csv,0.003,key_word_tagging,0.7740916872800385
BERT,69,36,CNN,data/BERT_PCA_36.csv,0.003,transformer_tagged,0.7775596012293039
BERT,69,36,LSTM,data/BERT_PCA_36.csv,0.001,key_word_tagging,0.7598491747653816
BERT,69,36,LSTM,data/BERT_PCA_36.csv,0.001,transformer_tagged,0.7563533235525904
BERT,69,36,LSTM,data/BERT_PCA_36.csv,0.003,key_word_tagging,0.7576786822932043
BERT,69,36,LSTM,data/BERT_PCA_36.csv,0.003,transformer_tagged,0.7561460646067442
EFs,70,37,CNN,data/EFs_by_GPT35.csv,0.001,key_word_tagging,0.8031643226763471
EFs,70,37,CNN,data/EFs_by_GPT35.csv,0.001,transformer_tagged,0.8005166265081557
EFs,70,37,CNN,data/EFs_by_GPT35.csv,0.003,key_word_tagging,0.801098011101336
EFs,70,37,CNN,data/EFs_by_GPT35.csv,0.003,transformer_tagged,0.7974980457658293
EFs,70,37,LSTM,data/EFs_by_GPT35.csv,0.001,key_word_tagging,0.7765468641332257
EFs,70,37,LSTM,data/EFs_by_GPT35.csv,0.001,transformer_tagged,0.7818836572223532
EFs,70,37,LSTM,data/EFs_by_GPT35.csv,0.003,key_word_tagging,0.7704534966971889
EFs,70,37,LSTM,data/EFs_by_GPT35.csv,0.003,transformer_tagged,0.7733795997899863
GPT4,69,36,CNN,data/GPT4_PCA_36.csv,0.001,key_word_tagging,0.7900398084163234
GPT4,69,36,CNN,data/GPT4_PCA_36.csv,0.001,transformer_tagged,0.7906936058635932
GPT4,69,36,CNN,data/GPT4_PCA_36.csv,0.003,key_word_tagging,0.7862090590318713
GPT4,69,36,CNN,data/GPT4_PCA_36.csv,0.003,transformer_tagged,0.7954095920771881
GPT4,69,36,LSTM,data/GPT4_PCA_36.csv,0.001,key_word_tagging,0.7595393932795109
GPT4,69,36,LSTM,data/GPT4_PCA_36.csv,0.001,transformer_tagged,0.7648669432086059
GPT4,69,36,LSTM,data/GPT4_PCA_36.csv,0.003,key_word_tagging,0.7512542204481701
GPT4,69,36,LSTM,data/GPT4_PCA_36.csv,0.003,transformer_tagged,0.7549731207341298
